Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2
dt,sepsis,payload2,declare,0.5714285714285714,0.2,0.29629629629629634,0.7352272727272727,0.42857142857142855,0.45,0.4390243902439024,0.7412878787878788,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.5248052154555574
dt,sepsis,payload2,dwd,0.95,0.95,0.9500000000000001,0.9734848484848485,0.9090909090909091,1.0,0.9523809523809523,0.9995454545454545,0.8260869565217391,1.0,0.9047619047619047,0.9945142311973287
dt,sepsis,payload2,hybrid,0.9,0.9473684210526315,0.9230769230769231,0.9724121481952616,0.7727272727272727,0.85,0.8095238095238095,0.9692424242424241,0.8,0.8,0.8000000000000002,0.9942424242424241
dt,sepsis,payload2,hybrid_data,1.0,1.0,1.0,1.0,1.0,0.95,0.9743589743589743,0.975,0.9090909090909091,1.0,0.9523809523809523,0.996969696969697
dt,sepsis,payload2,hybrid_dwd,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.9726506598823341,1.0,1.0,1.0,1.0,0.8695652173913043,1.0,0.9302325581395349,0.9954545454545455
dt,sepsis,payload2,hybrid_dwd_payload,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.9728891715694069,1.0,1.0,1.0,1.0,0.8695652173913043,1.0,0.9302325581395349,0.9954545454545455
dt,sepsis,payload2,mr,0.2727272727272727,0.47368421052631576,0.34615384615384615,0.724678009222452,0.25,0.45,0.32142857142857145,0.739090909090909,0.20689655172413793,0.3,0.24489795918367346,0.6598484848484848
dt,sepsis,payload2,mr_data,0.8636363636363636,1.0,0.9268292682926829,0.9960248052154556,0.8695652173913043,1.0,0.9302325581395349,0.9943939393939395,0.8333333333333334,1.0,0.9090909090909091,0.9915151515151516
dt,sepsis,payload2,mra,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.7497217363650819,0.25,0.45,0.32142857142857145,0.7404545454545454,0.5714285714285714,0.2,0.29629629629629634,0.6931060606060605
dt,sepsis,payload2,mra_data,0.8636363636363636,1.0,0.9268292682926829,0.994275719510256,0.8636363636363636,0.95,0.9047619047619048,0.9952272727272727,0.8333333333333334,1.0,0.9090909090909091,0.9915151515151516
dt,sepsis,payload2,payload,0.8695652173913043,1.0,0.9302325581395349,0.9929545454545455,0.8947368421052632,0.85,0.8717948717948718,0.9204545454545455,0.7916666666666666,1.0,0.8837209302325582,0.989982509142948
dt,sepsis,payload2,tr,0.2727272727272727,0.47368421052631576,0.34615384615384615,0.724678009222452,0.25,0.45,0.32142857142857145,0.7322727272727272,0.1724137931034483,0.25,0.20408163265306123,0.6574242424242425
dt,sepsis,payload2,tr_data,0.8636363636363636,1.0,0.9268292682926829,0.9959453013197647,0.8695652173913043,1.0,0.9302325581395349,0.9943939393939395,0.8333333333333334,1.0,0.9090909090909091,0.9915151515151516
dt,sepsis,payload2,tra,0.2727272727272727,0.47368421052631576,0.34615384615384615,0.724678009222452,0.2647058823529412,0.45,0.33333333333333337,0.7487878787878788,0.18181818181818182,0.3,0.22641509433962265,0.6512121212121211
dt,sepsis,payload2,tra_data,0.8636363636363636,1.0,0.9268292682926829,0.9962633169025282,0.8636363636363636,0.95,0.9047619047619048,0.9952272727272727,0.8333333333333334,1.0,0.9090909090909091,0.9915151515151516
